Winner/Tie,PtsW,Home,Loser/Tie,PtsL
84,31,2,164,20
89,35,1,53,16
93,48,2,163,10
95,10,1,79,3
97,35,1,96,11
101,45,2,80,31
102,24,1,188,14
108,41,1,150,31
109,42,1,145,24
110,26,2,65,18
117,28,2,190,27
125,28,2,48,17
131,31,2,137,24
143,41,1,122,21
166,38,1,136,14
175,82,1,177,27
176,22,2,86,18
178,34,2,179,0
180,42,1,91,35
185,40,2,38,37
186,24,1,161,21
187,34,1,111,20
198,34,2,133,10
201,66,1,134,51
202,42,1,130,21
204,52,1,90,7
55,42,2,87,31
60,42,1,182,10
34,38,2,183,14
93,40,1,184,20
2,23,2,14,6
6,31,2,53,28
8,44,1,61,0
10,19,1,186,16
12,44,2,68,28
15,35,2,100,31
18,60,1,77,14
21,33,2,192,31
23,27,2,98,7
26,45,2,136,31
31,38,2,48,7
39,38,2,150,31
40,37,1,30,29
43,51,2,138,48
51,38,0,59,20
62,35,1,190,10
66,27,2,157,3
73,48,1,127,7
78,48,1,133,14
84,59,1,201,10
85,19,1,152,9
90,20,2,137,19
94,47,1,117,20
96,34,1,71,10
101,17,1,11,10
102,20,1,80,10
109,35,1,141,14
110,30,1,149,14
113,31,2,111,28
119,24,2,169,17
129,49,0,108,39
131,55,1,70,14
132,59,2,74,14
135,45,1,166,16
143,31,2,54,17
161,44,2,196,17
170,20,1,45,10
171,45,2,153,42
173,34,2,177,13
174,21,1,86,16
175,31,2,198,30
176,37,2,114,29
178,35,1,164,14
185,17,1,9,7
187,35,2,65,14
188,42,1,134,28
195,38,2,38,23
202,41,2,95,10
204,37,2,145,0
206,45,2,56,17
22,27,2,3,10
180,30,2,79,20
125,35,2,17,21
130,37,1,24,14
36,34,2,194,20
93,16,2,170,13
187,20,2,206,3
2,48,2,111,21
4,20,2,83,13
8,31,1,86,29
9,38,1,38,20
10,55,1,129,31
12,45,1,152,10
14,35,0,40,21
18,48,2,132,14
20,60,2,113,49
39,49,1,65,22
43,27,2,169,10
51,34,2,188,10
55,34,1,190,20
56,38,1,150,24
59,63,2,80,31
60,28,2,176,25
62,56,2,119,23
77,34,1,74,14
84,40,2,6,24
85,44,2,114,16
87,38,2,21,19
89,63,2,164,17
96,10,2,127,9
99,51,1,73,14
100,48,1,140,0
101,45,1,172,16
122,31,1,53,10
131,49,2,97,37
134,38,1,54,35
135,51,2,186,27
137,13,2,71,7
143,17,1,179,7
149,35,1,68,21
173,33,1,198,16
174,41,2,15,38
175,41,1,78,20
182,45,1,61,21
183,31,2,66,24
184,38,1,163,28
185,44,2,195,30
196,39,2,136,32
201,35,1,178,27
204,34,2,141,16
24,55,1,3,24
125,27,1,180,24
22,30,1,79,20
91,24,1,17,10
34,54,0,45,46
161,38,1,26,30
179,12,1,164,10
30,31,1,184,7
2,45,1,110,38
4,25,1,101,20
8,37,2,12,32
9,27,1,195,26
11,17,1,83,0
20,38,1,149,29
23,42,1,111,23
31,34,1,95,27
54,38,1,98,28
55,30,2,94,26
59,34,1,15,7
62,28,1,36,6
65,13,2,150,0
73,30,2,70,14
85,34,2,86,27
89,41,1,143,14
93,38,2,183,7
97,37,2,90,15
102,34,2,174,27
108,52,1,60,19
117,40,1,138,35
119,42,1,194,13
127,43,2,129,40
131,31,2,99,24
132,42,2,177,30
136,35,1,10,27
137,30,1,170,13
145,45,1,71,23
152,24,1,176,20
153,23,2,51,20
157,14,2,163,13
171,50,1,80,16
173,28,2,133,7
175,34,2,77,30
178,35,1,122,17
182,34,2,68,17
186,20,2,166,17
187,28,1,113,21
192,17,2,43,16
201,52,1,14,24
202,51,1,48,7
204,59,1,109,24
3,30,1,91,6
125,21,2,130,14
180,27,1,22,20
78,26,2,198,20
117,45,2,43,20
176,45,1,12,27
143,31,1,178,13
149,30,1,2,14
187,41,1,150,7
4,48,1,199,14
8,35,2,85,16
9,42,2,186,10
10,52,1,196,31
11,30,1,100,0
14,42,1,55,31
15,31,1,148,7
17,45,1,48,30
18,49,1,133,28
20,63,2,206,14
23,64,1,151,0
30,53,1,163,7
34,41,2,40,0
36,28,1,61,0
39,58,1,113,20
45,34,1,183,6
51,52,1,47,3
55,20,1,21,17
56,40,2,110,20
59,55,1,32,9
65,37,1,111,35
66,38,1,184,28
70,16,1,137,14
86,30,2,114,17
87,31,2,129,28
89,23,2,6,18
90,23,2,96,16
93,31,1,157,20
97,45,1,145,3
98,35,1,53,34
99,28,2,109,24
101,51,1,188,0
102,29,2,171,21
122,17,1,54,14
127,38,2,141,14
131,42,1,71,27
132,44,1,77,7
134,30,1,84,27
135,44,1,38,10
138,30,1,169,7
153,37,1,152,12
166,38,2,26,17
177,34,2,74,31
185,38,1,161,20
190,30,1,94,13
194,6,1,192,3
195,37,1,136,13
201,45,1,179,7
202,32,2,31,20
204,26,2,73,24
130,24,2,95,21
83,23,2,174,17
175,48,2,173,10
2,27,1,39,24
9,42,1,10,35
17,41,2,22,24
24,41,2,91,21
30,16,2,157,0
45,49,2,184,32
66,35,2,163,9
79,27,1,3,24
102,21,1,11,14
108,42,2,152,40
109,37,2,73,34
125,31,2,202,21
166,31,2,185,10
180,52,2,48,16
192,24,1,190,20
201,67,2,89,66
4,55,1,15,44
6,45,2,164,24
8,45,1,68,28
12,68,1,114,35
18,48,0,177,46
20,50,1,187,19
21,28,1,169,7
23,42,2,26,35
34,14,2,170,6
36,35,1,153,17
43,41,1,194,21
55,24,1,51,19
56,28,1,65,21
60,22,1,86,16
62,30,2,59,24
70,47,2,127,33
71,23,1,141,16
78,51,1,77,13
84,76,1,143,31
85,42,2,182,23
87,44,1,80,40
93,41,1,40,10
97,34,2,137,10
100,31,1,101,17
110,49,2,111,27
113,36,1,206,30
119,35,2,117,7
131,42,1,96,28
134,31,2,53,28
135,47,2,136,19
138,35,2,94,23
145,41,2,90,38
149,38,1,150,7
161,49,1,129,14
171,24,2,188,17
176,54,2,61,31
178,24,1,98,21
179,34,1,122,27
186,38,2,38,34
195,31,2,196,13
198,37,2,74,24
204,34,1,99,24
30,32,2,45,30
125,51,0,22,17
135,51,0,9,13
4,42,0,102,13
18,38,1,78,27
20,28,1,56,14
34,38,0,66,31
55,37,0,62,35
89,26,1,84,23
131,59,0,204,0
133,38,2,132,35
163,27,2,40,20
170,10,2,183,3
175,55,1,74,3
